Titolo,Tipo,Serie / Universo,Numero,Editore,Edizione,Formato,Lingua,ISBN,Prezzo,Data acquisto,Stato lettura,Voto,Commento,Note edizione,Sceneggiatura,Disegni,Provenienza
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,1,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-02-14,Letto,8,il miglior manga sportivo che ho letto,"carta ottima, sovraccoperta opaca",Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,2,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-03-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,3,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-04-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,4,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-05-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,5,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-06-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,6,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-07-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,7,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-08-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,8,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-09-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,9,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-10-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,10,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-11-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,11,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-12-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,12,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-01-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,13,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-02-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,14,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-03-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,15,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-04-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,16,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-05-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,17,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-06-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,18,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-07-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,19,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-08-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Slam Dunk,Manga,Slam Dunk / Angolo Giappone,20,Planet Manga,Deluxe,Tankobon,Italiano,,"12,90",2023-09-14,Letto,8,,,Takehiko Inoue,Takehiko Inoue,
Naruto,Manga,Naruto,1,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,7,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,2,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,3,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,4,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,5,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,6,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,7,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,8,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,9,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,10,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,11,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,12,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,13,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,14,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Letto,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,15,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Da leggere,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,16,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Da leggere,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,17,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Da leggere,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,18,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Da leggere,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,19,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Da leggere,,,,Masashi Kishimoto,Masashi Kishimoto,
Naruto,Manga,Naruto,20,Planet Manga,,Tankobon,Italiano,,"4,50",2019-06-02,Da leggere,,,,Masashi Kishimoto,Masashi Kishimoto,
Death Note,Manga,Death Note,1,Panini Comics,Black Edition,Tankobon,Italiano,,"14,00",2022-03-11,Letto,9,,,Tsugumi Ohba,Takeshi Obata,
Death Note,Manga,Death Note,2,Panini Comics,Black Edition,Tankobon,Italiano,,"14,00",2022-03-11,Letto,,,,Tsugumi Ohba,Takeshi Obata,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,1,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Letto,"9,5",,"volume enorme, apertura rigida",Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,2,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Letto,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,3,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Letto,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,4,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Letto,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,5,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Letto,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,6,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Letto,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,7,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,8,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,9,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,10,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,11,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,12,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,13,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,14,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,15,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,16,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,17,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
Fullmetal Alchemist,Manga,Fullmetal Alchemist,18,Planet Manga,Ultimate Deluxe Edition,Deluxe,Italiano,,"19,90",2024-01-20,Da leggere,,,,Hiromu Arakawa,Hiromu Arakawa,
