Titolo,Serie / Universo,Numero,Editore,Formato
Slam Dunk,Slam Dunk / Angolo Giappone,1,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,2,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,3,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,4,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,5,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,6,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,7,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,8,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,9,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,10,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,11,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,12,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,13,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,14,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,15,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,16,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,17,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,18,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,19,Planet Manga,Tankobon
Slam Dunk,Slam Dunk / Angolo Giappone,20,Planet Manga,Tankobon
Naruto,Naruto,1,Planet Manga,Tankobon
Naruto,Naruto,2,Planet Manga,Tankobon
Naruto,Naruto,3,Planet Manga,Tankobon
Naruto,Naruto,4,Planet Manga,Tankobon
Naruto,Naruto,5,Planet Manga,Tankobon
Naruto,Naruto,6,Planet Manga,Tankobon
Naruto,Naruto,7,Planet Manga,Tankobon
Naruto,Naruto,8,Planet Manga,Tankobon
Naruto,Naruto,9,Planet Manga,Tankobon
Naruto,Naruto,10,Planet Manga,Tankobon
Naruto,Naruto,11,Planet Manga,Tankobon
Naruto,Naruto,12,Planet Manga,Tankobon
Naruto,Naruto,13,Planet Manga,Tankobon
Naruto,Naruto,14,Planet Manga,Tankobon
Naruto,Naruto,15,Planet Manga,Tankobon
Naruto,Naruto,16,Planet Manga,Tankobon
Naruto,Naruto,17,Planet Manga,Tankobon
Naruto,Naruto,18,Planet Manga,Tankobon
Naruto,Naruto,19,Planet Manga,Tankobon
Naruto,Naruto,20,Planet Manga,Tankobon
Death Note,Death Note,1,Panini Comics,Tankobon
Death Note,Death Note,2,Panini Comics,Tankobon
Fullmetal Alchemist,Fullmetal Alchemist,1,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,2,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,3,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,4,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,5,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,6,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,7,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,8,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,9,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,10,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,11,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,12,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,13,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,14,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,15,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,16,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,17,Planet Manga,Deluxe
Fullmetal Alchemist,Fullmetal Alchemist,18,Planet Manga,Deluxe
Batman: Anno Uno,Batman / Universo DC / Recupero Batman,1,Panini DC Italia,Must Have
Batman: Il lungo Halloween,Batman / Universo DC / Recupero Batman,2,Panini DC Italia,Must Have
Batman: Silenzio,Batman / Universo DC / Recupero Batman,3,Panini DC Italia,Must Have
Batman: Terra Uno,Batman / Universo DC / Recupero Batman,4,Panini DC Italia,Must Have
Batman: Venom,Batman / Universo DC / Recupero Batman,5,Panini DC Italia,Must Have
Batman: Cavaliere Bianco,Batman / Universo DC / Recupero Batman,6,Panini DC Italia,Must Have
Batman: Un lutto in famiglia,Batman / Universo DC / Recupero Batman,7,Panini DC Italia,Must Have
Batman: The Killing Joke,Batman / Universo DC / Recupero Batman,8,Panini DC Italia,Must Have
Batman: Amore folle,Batman / Universo DC / Recupero Batman,9,Panini DC Italia,Must Have
Batman: Il ritorno del Cavaliere Oscuro,Batman / Universo DC / Recupero Batman,10,Panini DC Italia,Must Have
Batman: Ego,Batman / Universo DC / Recupero Batman,11,Panini DC Italia,Must Have
Batman: Gothic,Batman / Universo DC / Recupero Batman,12,Panini DC Italia,Must Have
One-Punch Man,One-Punch Man / Angolo Giappone,1,Planet Manga,Tankobon
One-Punch Man,One-Punch Man / Angolo Giappone,2,Planet Manga,Tankobon
One-Punch Man,One-Punch Man / Angolo Giappone,3,Planet Manga,Tankobon
One-Punch Man,One-Punch Man / Angolo Giappone,4,Planet Manga,Tankobon
