Serie / Universo,Editore,Edizione,Volumi usciti,Stato,In raccolta,Percorso,Intento,Vincoli
Slam Dunk,Planet Manga,Deluxe,20,Concluso,Sì,Angolo Giappone,privilegiare titoli davvero coerenti con samurai e cultura giapponese,non accumulare troppi libri non letti
Death Note,Panini Comics,Black Edition,6,Concluso,No,,,
Naruto,Planet Manga,,72,Concluso,No,,,
Fullmetal Alchemist,Planet Manga,Ultimate Deluxe Edition,18,Concluso,Sì,,,
Batman / Universo DC,Panini DC Italia,Must Have,12,In corso,Sì,Recupero Batman,recuperare i classici prima di passare alle run moderne,"andarci piano, visti i costi"
One-Punch Man,Planet Manga,,30,In corso,Sì,,,
Berserk,Panini Comics,Maximum,8,In corso,No,,,
L'uomo che ride / Universo DC,Panini DC Italia,Deluxe,3,Concluso,No,,,
Spider-Man / Universo Marvel,Panini Marvel Italia,Omnibus,4,In corso,Sì,La storia della mia vita,rileggere in ordine di pubblicazione,
,,,,,,Technical Leadership,crescere come tech lead senza smettere di leggere narrativa,un saggio alla volta
