Titolo,Tipo,Serie / Universo,Numero,Editore,Edizione,Formato,Lingua,Priorità,Prezzo obiettivo,Prezzo trovato,Negozio,Stato,Data acquisto
Death Note,Manga,Death Note,3,Panini Comics,Black Edition,Tankobon,Italiano,1,"14,00","13,20",Amazon,Da comprare,
Death Note,Manga,Death Note,4,Panini Comics,Black Edition,Tankobon,Italiano,1,"14,00","13,20",Amazon,Da comprare,
Death Note,Manga,Death Note,5,Panini Comics,Black Edition,Tankobon,Italiano,1,"14,00","13,20",Amazon,Da comprare,
Death Note,Manga,Death Note,6,Panini Comics,Black Edition,Tankobon,Italiano,1,"14,00","13,20",Amazon,Da comprare,
Naruto,Manga,Naruto,21,Planet Manga,,Tankobon,Italiano,2,"4,50",,Fumetteria Verona,Da comprare,
Naruto,Manga,Naruto,22,Planet Manga,,Tankobon,Italiano,2,"4,50",,Fumetteria Verona,Da comprare,
Naruto,Manga,Naruto,23,Planet Manga,,Tankobon,Italiano,2,"4,50",,Fumetteria Verona,Da comprare,
Naruto,Manga,Naruto,24,Planet Manga,,Tankobon,Italiano,2,"4,50",,Fumetteria Verona,Da comprare,
Berserk,Manga,Berserk,5,Panini Comics,Maximum,Deluxe,Italiano,1,"23,00","21,50",Amazon,Acquistato,2026-07-04
Batman: Cavaliere della Notte,Comic,Batman / Universo DC,13,Panini DC Italia,Must Have,Must Have,Italiano,3,"14,90",,,Rinunciato,
Vagabond,Manga,Angolo Giappone,,Planet Manga,Deluxe,Deluxe,Italiano,1,"17,00",,Amazon,Da comprare,
20th Century Boys,Manga,Angolo Giappone,,Planet Manga,Ultimate,Tankobon,Italiano,2,"15,00","14,00",Fumetteria Verona,Prezzo trovato,
Akira,Manga,,,Panini Comics,,Cartonato,Italiano,2,"24,00",,,Da comprare,
Superman: Terra Uno,Comic,Universo DC,,Panini DC Italia,Must Have,Must Have,Italiano,3,"14,90",,,Monitorato,
Daredevil: Rinascita,Comic,Universo Marvel,,Panini Marvel Italia,Must Have,Must Have,Italiano,2,"14,90",,,Da comprare,
Sin City,Graphic Novel,,,Panini DC Italia,,Brossura,Italiano,3,"18,00",,,Desiderato,
Pluto,Manga,Angolo Giappone,,Planet Manga,,Tankobon,Italiano,1,"8,50",,Amazon,Da comprare,
Bone,Graphic Novel,,,Panini Comics,Omnibus,Omnibus,Italiano,3,"39,00",,,Monitorato,
Locke & Key,Comic,,,Panini Comics,Deluxe,Deluxe,Italiano,2,"30,00",,,In attesa,
Le Bizzarre Avventure di JoJo,Manga,Angolo Giappone,,Star Comics,,Tankobon,Italiano,3,"6,50",,,Da comprare,
Nausicaa,Manga,Angolo Giappone,,Planet Manga,,Cartonato,Italiano,1,"24,00","22,00",Amazon,Da comprare,
